,Equal Weights,Risk Parity,Markowitz,CAPM
668,-0.02001685151683253,-0.004210177985886903,-0.0553075855453735,-0.019022557791678232
669,0.030535531432075585,0.0033893373944100347,0.04377018468437064,0.012243269005815202
670,0.0012413486129429947,-0.002359384362315431,0.020311871781540165,0.008992906973225256
671,-0.03259577541383546,-0.0010591927558766705,-0.01863992200976574,-0.04004013793008736
672,-0.02487607741236603,-0.001926307239953641,-0.025303029880382584,-0.024595546558090542
673,0.0024290772900246297,0.0010327117177543505,-0.02461308305910348,0.0020741873411911126
674,0.029305853476931196,-0.004562781864670922,0.051018442796527314,0.038622820170249345
675,0.05055929036459378,0.005808168843186458,-0.020038166017702013,0.06621274522387605
676,-0.023617324799066034,0.0015099879549811679,-0.0033827434477569206,-0.038838109212179686
677,0.03525530207524388,0.01830969903526509,0.01860320415897346,0.042788895957823744
678,0.0017401199979178831,0.022674250811946097,0.013247389624848853,-0.006083795905786587
679,0.01856895315490803,-0.0005557758519279022,0.00600660567171779,0.021598090956074605
680,-0.0019216195960505668,0.008162130596085702,0.006199902363848308,-0.007505936597669517
681,-0.010266674480632697,-0.005580556514193142,-0.008392649160233816,-0.013846249040379177
682,0.037874748315632555,0.0184261275189108,0.01746515928864409,0.04065459005479431
683,0.0026793400412516086,0.025146237353515167,-0.02849127239522148,-0.007721332321730421
684,-0.005007602067186493,0.0009904826172874434,0.05411651587927434,-0.009172920078500778
685,0.023375490305607628,0.006567502834852468,0.0055495008915298506,0.030477766191063314
686,0.02319699489375894,-0.009124403815886343,0.015282162620744555,0.03724592804830135
687,-0.02003883246022677,-0.000512946893733282,-0.018456948333883255,-0.02249517446697794
688,-0.001613040622467735,-0.010081248714174578,-0.013202792037051408,0.0017241477287661395
689,0.02454590534830277,0.009450372174302668,0.06754196868747148,0.034367195927018604
690,0.04270312264030657,3.4520860081613603e-12,0.0209739258045226,0.0690341300472479
691,-0.024555119531238685,-1.8468613802030723e-12,-0.01825262621013554,-0.03319325843766654
692,0.047309274883605534,3.4810068940567866e-12,0.011843565307532625,0.0686579208497057
693,0.023388657922361313,1.6686548858452167e-12,0.0034786350357373427,0.039731886310377384
694,-0.021850068271691878,-1.5093317980271032e-12,0.017347450344356672,-0.03234165572550211
695,-0.07818878333421175,-6.1032492408627855e-12,-0.07223860526046572,-0.10647184388268296
696,0.007124495248896854,7.251914252470561e-13,0.013494949425107506,0.005954433671699094
697,0.020958419681017495,1.7789384168769394e-12,0.03063837392900334,0.02926591857772568
